Country,Total Cases,Feb 4Cases,TotalDeaths,Feb 4Deaths,TotalRecovered,TotalCritical,Region,timestamp
China,"24,324","+3,886",490,+65,892,"3,219",Asia,20200205005731
Japan,33,+13,,,,,Asia,20200205005731
Thailand,25,+6,,,7,1,Asia,20200205005731
Singapore,24,+6,,,1,,Asia,20200205005731
Hong Kong,17,+2,1,+1,,,Asia,20200205005731
S. Korea,16,+1,,,,,Asia,20200205005731
Australia,13,+1,,,3,,Oceania,20200205005731
Germany,12,,,,,,Europe,20200205005731
Taiwan,11,+1,,,,,Asia,20200205005731
USA,11,,,,,,N.America,20200205005731
Vietnam,10,+2,,,3,,Asia,20200205005731
Malaysia,10,+2,,,,,Asia,20200205005731
Macao,10,+2,,,,,Asia,20200205005731
France,6,,,,,1,Europe,20200205005731
U.A.E.,5,,,,,,Asia,20200205005731
Canada,5,+1,,,,,N.America,20200205005731
India,3,,,,,,Asia,20200205005731
Philippines,2,,1,,,,Asia,20200205005731
U.K.,2,,,,,,Europe,20200205005731
Russia,2,,,,,,Europe,20200205005731
Italy,2,,,,,2,Europe,20200205005731
Finland,1,,,,,,Europe,20200205005731
Cambodia,1,,,,,,Asia,20200205005731
Nepal,1,,,,,,Asia,20200205005731
Sri Lanka,1,,,,1,,Asia,20200205005731
Sweden,1,,,,,,Europe,20200205005731
Belgium,1,+1,,,,,Europe,20200205005731
Spain,1,,,,,,Europe,20200205005731
