"Country,Other",Total Cases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,"Serious,Critical",Region,timestamp
China,"78,073",+9,"2,715",,"30,072","8,745",Asia,20200227000139
S. Korea,"1,261",+284,12,+1,24,18,Asia,20200227000139
Diamond Princess,705,+14,4,,10,36,,20200227000139
Italy,470,+147,12,+1,3,35,Europe,20200227000139
Japan,172,+11,3,+2,23,13,Asia,20200227000139
Iran,139,+44,19,+3,25,,Asia,20200227000139
Singapore,93,+2,,,62,7,Asia,20200227000139
Hong Kong,89,+4,2,,18,6,Asia,20200227000139
USA,60,+3,,,6,,N.America,20200227000139
Thailand,40,+3,,,22,2,Asia,20200227000139
Bahrain,33,+10,,,,,Asia,20200227000139
Taiwan,32,+1,1,,5,1,Asia,20200227000139
Germany,27,+9,,,15,2,Europe,20200227000139
Kuwait,26,+15,,,,,Asia,20200227000139
Australia,23,+1,,,15,,Oceania,20200227000139
Malaysia,22,,,,20,,Asia,20200227000139
France,18,+4,2,+1,11,1,Europe,20200227000139
Vietnam,16,,,,16,,Asia,20200227000139
Spain,13,+4,,,2,,Europe,20200227000139
U.K.,13,,,,8,,Europe,20200227000139
U.A.E.,13,,,,3,2,Asia,20200227000139
Canada,12,+1,,,3,,N.America,20200227000139
Macao,10,,,,6,,Asia,20200227000139
Iraq,5,,,,,,Asia,20200227000139
Oman,4,,,,,,Asia,20200227000139
Philippines,3,,1,,2,,Asia,20200227000139
Croatia,3,+2,,,,,Europe,20200227000139
India,3,,,,3,,Asia,20200227000139
Austria,2,,,,,,Europe,20200227000139
Finland,2,+1,,,1,,Europe,20200227000139
Israel,2,,,,,,Asia,20200227000139
Lebanon,2,+1,,,,,Asia,20200227000139
Pakistan,2,+2,,,,,Asia,20200227000139
Russia,2,,,,2,,Europe,20200227000139
Sweden,2,+1,,,,,Europe,20200227000139
Afghanistan,1,,,,,,Asia,20200227000139
Algeria,1,,,,,,Africa,20200227000139
Belgium,1,,,,1,,Europe,20200227000139
Brazil,1,,,,,,South America,20200227000139
Cambodia,1,,,,1,,Asia,20200227000139
Egypt,1,,,,1,,Africa,20200227000139
Georgia,1,+1,,,,,Asia,20200227000139
Greece,1,+1,,,,,Europe,20200227000139
North Macedonia,1,+1,,,,,Europe,20200227000139
Nepal,1,,,,1,,Asia,20200227000139
Norway,1,+1,,,,,Europe,20200227000139
Romania,1,+1,,,,,Europe,20200227000139
Sri Lanka,1,,,,1,,Asia,20200227000139
Switzerland,1,,,,,,Europe,20200227000139
