"Country,Other",Total Cases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,"Serious,Critical",Region,timestamp
China,"76,943",+7,"2,444",+2,"23,181","11,477",Asia,20200224001310
Diamond Princess,691,+57,3,+1,17,36,,20200224001310
S. Korea,602,+166,6,+4,18,7,Asia,20200224001310
Italy,157,+78,3,+1,2,26,Europe,20200224001310
Japan,146,+12,1,,23,7,Asia,20200224001310
Singapore,89,,,,51,5,Asia,20200224001310
Hong Kong,74,+4,2,,12,6,Asia,20200224001310
Iran,43,+14,8,+2,,,Asia,20200224001310
Thailand,35,,,,21,2,Asia,20200224001310
USA,35,,,,7,,N.America,20200224001310
Taiwan,28,+2,1,,2,1,Asia,20200224001310
Australia,22,+1,,,11,,Oceania,20200224001310
Malaysia,22,,,,18,,Asia,20200224001310
Germany,16,,,,14,,Europe,20200224001310
Vietnam,16,,,,15,,Asia,20200224001310
U.K.,13,+4,,,8,,Europe,20200224001310
U.A.E.,13,,,,3,2,Asia,20200224001310
France,12,,1,,10,,Europe,20200224001310
Canada,10,+1,,,3,,N.America,20200224001310
Macao,10,,,,6,,Asia,20200224001310
Philippines,3,,1,,2,,Asia,20200224001310
India,3,,,,3,,Asia,20200224001310
Israel,2,+1,,,,,Asia,20200224001310
Russia,2,,,,2,,Europe,20200224001310
Spain,2,,,,2,,Europe,20200224001310
Belgium,1,,,,1,,Europe,20200224001310
Cambodia,1,,,,1,,Asia,20200224001310
Egypt,1,,,,1,,Africa,20200224001310
Finland,1,,,,1,,Europe,20200224001310
Lebanon,1,,,,,,Asia,20200224001310
Nepal,1,,,,1,,Asia,20200224001310
Sri Lanka,1,,,,1,,Asia,20200224001310
Sweden,1,,,,,,Europe,20200224001310
Iraq,1,,,,,,Asia,20200224001310
