"Country,Territory",Total Cases,Change(cases),TotalDeaths,Change(deaths),TotalRecovered,"Serious,Critical",Region,timestamp
China,"63,865","+5,104","1,381",+122,"7,014","10,584",Asia,20200214092439
Japan,253,+51,1,+1,10,5,Asia,20200214092439
Singapore,58,+8,,,15,8,Asia,20200214092439
Hong Kong,56,+6,1,,1,6,Asia,20200214092439
Thailand,33,,,,12,1,Asia,20200214092439
S. Korea,28,,,,7,,Asia,20200214092439
Malaysia,19,+1,,,3,,Asia,20200214092439
Taiwan,18,,,,1,,Asia,20200214092439
Vietnam,16,+1,,,7,,Asia,20200214092439
Germany,16,,,,1,,Europe,20200214092439
Australia,15,,,,10,,Oceania,20200214092439
USA,15,+2,,,3,,N.America,20200214092439
France,11,,,,2,1,Europe,20200214092439
Macao,10,,,,3,,Asia,20200214092439
U.K.,9,,,,1,,Europe,20200214092439
U.A.E.,8,,,,1,1,Asia,20200214092439
Canada,7,,,,1,,N.America,20200214092439
Philippines,3,,1,,2,,Asia,20200214092439
Italy,3,,,,,2,Europe,20200214092439
India,3,,,,1,,Asia,20200214092439
Russia,2,,,,2,,Europe,20200214092439
Spain,2,,,,,,Europe,20200214092439
Sweden,1,,,,,,Europe,20200214092439
Nepal,1,,,,1,,Asia,20200214092439
Sri Lanka,1,,,,1,,Asia,20200214092439
Finland,1,,,,1,,Europe,20200214092439
Cambodia,1,,,,1,,Asia,20200214092439
Belgium,1,,,,,,Europe,20200214092439
