"Country,Territory",Total Cases,"Feb 7,8Cases",TotalDeaths,"Feb 7,8Deaths",TotalRecovered,TotalSevere,Region,timestamp
China,"34,611","+3,450",722,+86,"2,363","6,101",Asia,20200208145142
Japan,89,+44,,,4,,Asia,20200208145142
Singapore,33,+3,,,2,1,Asia,20200208145142
Thailand,32,+7,,,9,1,Asia,20200208145142
Hong Kong,26,+2,1,,,,Asia,20200208145142
S. Korea,24,+1,,,2,,Asia,20200208145142
Taiwan,17,+1,,,1,,Asia,20200208145142
Malaysia,16,+2,,,1,,Asia,20200208145142
Australia,15,,,,5,,Oceania,20200208145142
Germany,14,+1,,,,,Europe,20200208145142
Vietnam,13,+1,,,3,,Asia,20200208145142
USA,12,,,,3,,N.America,20200208145142
France,11,+5,,,,1,Europe,20200208145142
Macao,10,,,,1,,Asia,20200208145142
Canada,7,,,,,,N.America,20200208145142
U.A.E.,7,+2,,,,,Asia,20200208145142
Philippines,3,,1,,,,Asia,20200208145142
India,3,,,,,,Asia,20200208145142
Italy,3,,,,,2,Europe,20200208145142
U.K.,3,,,,,,Europe,20200208145142
Russia,2,,,,,,Europe,20200208145142
Nepal,1,,,,,,Asia,20200208145142
Cambodia,1,,,,1,,Asia,20200208145142
Finland,1,,,,1,,Europe,20200208145142
Sri Lanka,1,,,,1,,Asia,20200208145142
Sweden,1,,,,,,Europe,20200208145142
Belgium,1,,,,,,Europe,20200208145142
Spain,1,,,,,,Europe,20200208145142
