Country,Cases,Deaths,Region,timestamp
China,"7,801",170,Asia,20200130093554
Thailand,14,0,Asia,20200130093554
Hong Kong,10,0,Asia,20200130093554
Taiwan,8,0,Asia,20200130093554
Macau,7,0,Asia,20200130093554
Malaysia,8,0,Asia,20200130093554
Singapore,10,0,Asia,20200130093554
Japan,11,0,Asia,20200130093554
Australia,7,0,Oceania,20200130093554
United States,5,0,America,20200130093554
South Korea,6,0,Asia,20200130093554
France,5,0,Europe,20200130093554
Germany,4,0,Europe,20200130093554
Canada,3,0,America,20200130093554
Vietnam,2,0,Asia,20200130093554
Cambodia,1,0,Asia,20200130093554
Nepal,1,0,Asia,20200130093554
United Arab Emirates,4,0,Middle East,20200130093554
Finland,1,0,Europe,20200130093554
Philippines,1,0,Asia,20200130093554
India,1,0,Asia,20200130093554
Sri Lanka,1,0,Asia,20200130093554
