0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
"Province/  
Region/  
City",Daily,,,,,Cumulative,,,,,,,,,,,,20200214,25
,"Lab-
confirmed","Clinically 
diagnosed","Total 
cases","Suspected 
cases",Deaths,"Lab-
confirmed","Clinically 
diagnosed","Total 
cases",Deaths,,,,,,,,,20200214,25
Hubei,1728,3095,4823,1154,116,36 602,15 384,51 986,1318,,,,,,,,,20200214,25
Guangdong,20,-,20,8,0,1261,-,1261,2,,,,,,,,,20200214,25
Henan,15,-,15,207,1,1184,-,1184,11,,,,,,,,,20200214,25
Zhejiang,10,-,10,22,0,1155,-,1155,0,,,,,,,,,20200214,25
Hunan,20,-,20,53,0,988,-,988,2,,,,,,,,,20200214,25
Anhui,24,-,24,16,1,934,-,934,6,,,,,,,,,20200214,25
Jiangxi,28,-,28,43,0,900,-,900,1,,,,,,,,,20200214,25
Jiangsu,23,-,23,14,0,593,-,593,0,,,,,,,,,20200214,25
Chongqing,11,-,11,138,1,529,-,529,4,,,,,,,,,20200214,25
Shandong,13,-,13,37,0,519,-,519,2,,,,,,,,,20200214,25
Sichuan,12,-,12,77,0,463,-,463,1,,,,,,,,,20200214,25
Heilongjiang,23,-,23,35,2,418,-,418,11,,,,,,,,,20200214,25
Beijing,6,-,6,54,0,372,-,372,3,,,,,,,,,20200214,25
Shanghai,5,-,5,81,0,318,-,318,1,,,,,,,,,20200214,25
Hebei,18,-,18,12,0,283,-,283,3,,,,,,,,,20200214,25
Fujian,2,-,2,23,0,281,-,281,0,,,,,,,,,20200214,25
Shaanxi,1,-,1,37,0,230,-,230,0,,,,,,,,,20200214,25
Guangxi,4,-,4,79,0,226,-,226,2,,,,,,,,,20200214,25
Yunnan,7,-,7,29,0,162,-,162,0,,,,,,,,,20200214,25
Hainan,0,-,0,32,0,157,-,157,4,,,,,,,,,20200214,25
Guizhou,5,-,5,16,0,140,-,140,1,,,,,,,,,20200214,25
Shanxi,0,-,0,24,0,126,-,126,0,,,,,,,,,20200214,25
Tianjin,7,-,7,172,0,119,-,119,3,,,,,,,,,20200214,25
Liaoning,1,-,1,66,0,117,-,117,1,,,,,,,,,20200214,25
