0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,20200218,29
,,"Confirmed 
cases*","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,20200218,29
Hubei,5917,1807,788,93,59989,1789,,,,,,,,,,,,,,20200218,29
Guangdong,11346,6,0,0,1328,4,,,,,,,,,,,,,,20200218,29
Henan,9605,11,102,3,1257,19,,,,,,,,,,,,,,20200218,29
Zhejiang,5737,1,15,0,1172,0,,,,,,,,,,,,,,20200218,29
Hunan,6899,1,15,1,1007,4,,,,,,,,,,,,,,20200218,29
Anhui,6324,9,7,0,982,6,,,,,,,,,,,,,,20200218,29
Jiangxi,4648,3,0,0,933,1,,,,,,,,,,,,,,20200218,29
Jiangsu,8051,3,4,0,629,0,,,,,,,,,,,,,,20200218,29
Chongqing,3102,2,50,0,553,5,,,,,,,,,,,,,,20200218,29
Shandong,10047,2,17,0,543,2,,,,,,,,,,,,,,20200218,29
Sichuan,8341,13,28,0,508,3,,,,,,,,,,,,,,20200218,29
Heilongjiang,3773,7,32,0,464,11,,,,,,,,,,,,,,20200218,29
Beijing,2154,6,49,0,387,4,,,,,,,,,,,,,,20200218,29
Shanghai,2424,2,65,0,333,1,,,,,,,,,,,,,,20200218,29
Hebei,7556,1,1,1,302,4,,,,,,,,,,,,,,20200218,29
Fujian,3941,2,2,0,292,0,,,,,,,,,,,,,,20200218,29
Guangxi,4926,4,21,0,242,2,,,,,,,,,,,,,,20200218,29
Shaanxi,3864,0,22,0,240,0,,,,,,,,,,,,,,20200218,29
Yunnan,4830,1,18,0,172,0,,,,,,,,,,,,,,20200218,29
Hainan,934,1,22,0,163,4,,,,,,,,,,,,,,20200218,29
Guizhou,3600,0,2,0,146,1,,,,,,,,,,,,,,20200218,29
Shanxi,3718,1,6,0,130,0,,,,,,,,,,,,,,20200218,29
Tianjin,1560,1,83,0,125,3,,,,,,,,,,,,,,20200218,29
Liaoning,4359,0,64,0,121,1,,,,,,,,,,,,,,20200218,29
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,20200218,29
Jilin,2704,0,14,0,89,1,,,,,,,,,,,,,,20200218,29
Xinjiang,2487,1,1,0,76,1,,,,,,,,,,,,,,20200218,29
Inner Mongolia,2534,1,0,0,73,0,,,,,,,,,,,,,,20200218,29
Ningxia,688,0,4,0,70,0,,,,,,,,,,,,,,20200218,29
Hong Kong SAR,745,3,0,0,60,1,,,,,,,,,,,,,,20200218,29
Taipei and environs,2359,2,0,0,22,1,,,,,,,,,,,,,,20200218,29
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,20200218,29
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,20200218,29
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,20200218,29
Total,142823,1891,1432,98,72528,1870,,,,,,,,,,,,,,20200218,29
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,,,,,,,,,20200218,29
Western Pacific Region,Singapore,77 (2),23 (1),53 (1),1 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Japan,65 (6),26 (0),39 (6),0 (0),1 (0),,,,,,,,,,,,,,20200218,29
,Republic of Korea,31 (1),13 (0),15‡ (1),3 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Malaysia,22 (0),17 (0),4§ (0),1 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Viet Nam,16 (0),8 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Australia,15 (0),12 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Philippines,3 (0),3 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,20200218,29
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
South-East Asia Region,Thailand,35 (0),23 (0),7 (0),5 (0),0 (0),,,,,,,,,,,,,,20200218,29
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
Region of the Americas,"United States of 
America",15 (0),13 (0),2 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Canada,8 (1),6 (0),0 (0),2 (1),0 (0),,,,,,,,,,,,,,20200218,29
European Region,Germany,16 (0),2 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,France,12 (0),5 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,20200218,29
,The United Kingdom,9 (0),2 (0),7** (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Spain,2 (0),0 (0),2†† (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
"Eastern Mediterranean 
Region",United Arab Emirates,9 (0),6 (0),2 (0),1 (0),0 (0),,,,,,,,,,,,,,20200218,29
,Egypt,1 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,20200218,29
Other,"International 
conveyance (Japan)",454‡‡ (0),0 (0),0 (0),454 (0),0 (0),,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
,,,,,,,,,,,,,,,,,,,,20200218,29
