0,1,2,3,4,5,6,7,8,9,10,date,sitrep
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,20200211,22
Western Pacific Region,China‡,42 708 (2484),,,,1017 (108),,,,,20200211,22
,Singapore,45 (2),22 (1),23†† (1),0 (0),0 (0),,,,,20200211,22
,Republic of Korea,28 (1),13 (0),12§§ (0),3 (1),0 (0),,,,,20200211,22
,Japan,26 (0),22 (0),4 (0),0 (0),0 (0),,,,,20200211,22
,Malaysia,18 (0),15 (0),3‡‡ (0),0 (0),0 (0),,,,,20200211,22
,Australia,15 (0),15 (0),0 (0),0 (0),0 (0),,,,,20200211,22
,Viet Nam,15 (1),8 (0),6 (0),1 (1),0 (0),,,,,20200211,22
,Philippines,3 (0),2 (0),0 (0),1 (0),1 (0),,,,,20200211,22
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,20200211,22
South-East Asia Region,Thailand,33 (1),23 (1),6††† (0),4 (0),0 (0),,,,,20200211,22
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,20200211,22
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,20200211,22
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,20200211,22
Region of the Americas,"United States of 
America",13 (1),11 (1),2 (0),0 (0),0 (0),,,,,20200211,22
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,20200211,22
European Region,Germany,14 (0),2 (0),12†† (0),0 (0),0 (0),,,,,20200211,22
,France,11 (0),5 (0),6 (0),0 (0),0 (0),,,,,20200211,22
,The United Kingdom,8 (4),1 (0),7*** (4),0 (0),0 (0),,,,,20200211,22
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,20200211,22
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,20200211,22
,Spain,2 (0),0 (0),2§ (0),0 (0),0 (0),,,,,20200211,22
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,20200211,22
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,20200211,22
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,20200211,22
"Eastern Mediterranean 
Region",United Arab Emirates,8 (1),6 (0),1 (0),1 (1),0 (0),,,,,20200211,22
Other,"International 
conveyance (Japan)",135** (65),0 (0),0 (0),135 (65),0 (0),,,,,20200211,22
,,,,,,,,,,,20200211,22
,,,,,,,,,,,20200211,22
,,,,,,,,,,,20200211,22
,,,,,,,,,,,20200211,22
,,,,,,,,,,,20200211,22
,,,,,,,,,,,20200211,22
,,,,,,,,,,,20200211,22
,,,,,,,,,,,20200211,22
