0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
"Province/  
Region/  
City",Daily,,,,,Cumulative,,,,,,,,,,,,20200215,26
,"Laboratory 
confirmed","Clinically 
diagnosed","Total 
cases","Suspected 
cases",Deaths,"Laboratory 
confirmed","Clinically 
diagnosed","Total 
cases",Deaths,,,,,,,,,20200215,26
Hubei,1282,1138,2420,1216,139,37884,16522,54406,1457,,,,,,,,,20200215,26
Guangdong,33,-,33,9,0,1294,-,1294,2,,,,,,,,,20200215,26
Henan,28,-,28,153,2,1212,-,1212,13,,,,,,,,,20200215,26
Zhejiang,7,-,7,23,0,1162,-,1162,0,,,,,,,,,20200215,26
Hunan,13,-,13,50,0,1001,-,1001,2,,,,,,,,,20200215,26
Anhui,16,-,16,13,0,950,-,950,6,,,,,,,,,20200215,26
Jiangxi,13,-,13,21,0,913,-,913,1,,,,,,,,,20200215,26
Jiangsu,11,-,11,3,0,604,-,604,0,,,,,,,,,20200215,26
Chongqing,8,-,8,98,1,537,-,537,5,,,,,,,,,20200215,26
Shandong,11,-,11,27,0,530,-,530,2,,,,,,,,,20200215,26
Sichuan,7,-,7,72,0,470,-,470,1,,,,,,,,,20200215,26
Heilongjiang,7,-,7,48,0,425,-,425,11,,,,,,,,,20200215,26
Beijing,3,-,3,51,1,375,-,375,4,,,,,,,,,20200215,26
Shanghai,8,-,8,87,0,326,-,326,1,,,,,,,,,20200215,26
Hebei,8,-,8,8,0,291,-,291,3,,,,,,,,,20200215,26
Fujian,4,-,4,6,0,285,-,285,0,,,,,,,,,20200215,26
Guangxi,9,-,9,44,0,235,-,235,2,,,,,,,,,20200215,26
Shaanxi,2,-,2,37,0,232,-,232,0,,,,,,,,,20200215,26
Yunnan,6,-,6,39,0,168,-,168,0,,,,,,,,,20200215,26
Hainan,5,-,5,36,0,162,-,162,4,,,,,,,,,20200215,26
Guizhou,3,-,3,4,0,143,-,143,1,,,,,,,,,20200215,26
Shanxi,1,-,1,12,0,127,-,127,0,,,,,,,,,20200215,26
Tianjin,1,-,1,128,0,120,-,120,3,,,,,,,,,20200215,26
Liaoning,2,-,2,66,0,119,-,119,1,,,,,,,,,20200215,26
Gansu,0,-,0,4,0,90,-,90,2,,,,,,,,,20200215,26
Jilin,2,-,2,8,0,88,-,88,1,,,,,,,,,20200215,26
Ningxia,3,-,3,3,0,70,-,70,0,,,,,,,,,20200215,26
Xinjiang,5,-,5,4,0,70,-,70,1,,,,,,,,,20200215,26
Inner Mongolia,5,-,5,7,0,68,-,68,0,,,,,,,,,20200215,26
Hong Kong Sar,3,-,3,0,0,56,-,56,1,,,,,,,,,20200215,26
Taipei and environs,0,-,0,0,0,18,-,18,0,,,,,,,,,20200215,26
Qinghai,0,-,0,0,0,18,-,18,0,,,,,,,,,20200215,26
Macao Sar,0,-,0,0,0,10,-,10,0,,,,,,,,,20200215,26
Xizang,0,-,0,0,0,1,-,1,0,,,,,,,,,20200215,26
Total,1506,1138,2644,2277,143,50054,16522,66576,1524,,,,,,,,,20200215,26
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,,,,,,,20200215,26
Western Pacific Region,Singapore,67 (9),22 (0),44 (8),1 (1),0 (0),,,,,,,,,,,,20200215,26
,Japan,41 (8),25 (1),16 (7),0 (0),1 (0),,,,,,,,,,,,20200215,26
,Republic of Korea,28 (0),13 (0),12§§ (0),3 (0),0 (0),,,,,,,,,,,,20200215,26
,Malaysia,21 (2),16 (1),4‡‡ (0),1 (1),0 (0),,,,,,,,,,,,20200215,26
,Viet Nam,16 (0),8 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Australia,15 (0),12 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Philippines,3 (0),3 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,20200215,26
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
South-East Asia Region,Thailand,34 (1),23 (0),7 (1),4 (0),0 (0),,,,,,,,,,,,20200215,26
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
Region of the Americas,"United States of 
America",15 (0),13 (0),2 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,,,,,,,20200215,26
European Region,Germany,16 (0),2 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,France,11 (0),5 (0),6 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,The United Kingdom,9 (0),2 (0),7*** (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Spain,2 (0),0 (0),2§ (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200215,26
"Eastern Mediterranean 
Region",United Arab Emirates,8 (0),6 (0),1 (0),1 (0),0 (0),,,,,,,,,,,,20200215,26
,Egypt,1 (1),0 (0),1 (1),0 (0),0 (0),,,,,,,,,,,,20200215,26
Other,"International 
conveyance (Japan)",218** (0),0 (0),0 (0),218 (0),0 (0),,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
,,,,,,,,,,,,,,,,,,20200215,26
