0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,20200210,21
Western Pacific Region,China‡,40 235 (3073),,,,909 (97),,,,,,20200210,21
,Singapore,43 (3),21 (0),22 (3),0 (0),0 (0),,,,,,20200210,21
,Republic of Korea,27 (0),13 (0),12 (0),2 (0),0 (0),,,,,,20200210,21
,Japan,26 (0),22 (0),4 (0),0 (0),0 (0),,,,,,20200210,21
,Malaysia,18 (1),10 (1),4 (0),4 (0),0 (0),,,,,,20200210,21
,Australia,15 (0),15 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
,Viet Nam,14 (0),8 (0),6 (0),0 (0),0 (0),,,,,,20200210,21
,Philippines,3 (0),2 (0),0 (0),1 (0),1 (0),,,,,,20200210,21
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
South-East Asia Region,Thailand,32 (0),22 (0),6 (0),4 (0),0 (0),,,,,,20200210,21
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
Region of the Americas,"United States of 
America",12 (0),10 (0),2 (0),0 (0),0 (0),,,,,,20200210,21
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,20200210,21
European Region,Germany,14 (0),2 (0),12†† (0),0 (0),0 (0),,,,,,20200210,21
,France,11 (0),5 (0),6 (0),0 (0),0 (0),,,,,,20200210,21
,The United Kingdom,4 (1),1 (0),3*** (1),0 (0),0 (0),,,,,,20200210,21
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
,Spain,2 (1),0 (0),2§ (1),0 (0),0 (0),,,,,,20200210,21
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200210,21
"Eastern Mediterranean 
Region",United Arab Emirates,7 (0),6 (0),1 (0),0 (0),0 (0),,,,,,20200210,21
Other,"International 
conveyance (Japan)",70** (6),0 (0),0 (0),70 (6),0 (0),,,,,,20200210,21
,,,,,,,,,,,,20200210,21
,,,,,,,,,,,,20200210,21
,,,,,,,,,,,,20200210,21
,,,,,,,,,,,,20200210,21
,,,,,,,,,,,,20200210,21
,,,,,,,,,,,,20200210,21
,,,,,,,,,,,,20200210,21
,,,,,,,,,,,,20200210,21
